Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 0, 0, 0, 0.01, 0.01, 5, 0.01, 0.673, 0.663, 10000, 0, 0.673, 0.683, 0.01, 5,     0.683,
 1, 0, 0.4, 0.4, 0.41, 0.01, 5, 0.41, 1.073, 0.663, 10000, 0, 1.073, 1.083, 0.01, 5,     0.683,
 2, 0, 0.4, 0.4, 0.43, 0.03, 5, 0.43, 1.323, 0.893, 10000, 0, 1.323, 1.333, 0.01, 5,     0.933,
 3, 0, 0.4, 0.4, 0.45, 0.05, 5, 0.45, 1.573, 1.123, 10000, 0, 1.573, 1.583, 0.01, 5,     1.183,
 4, 0, 0.4, 0.4, 0.47, 0.07, 5, 0.47, 1.823, 1.353, 10000, 0, 1.823, 1.829, 0.006, 5,     1.429,
 5, 0, 0.8, 0.8, 0.81, 0.01, 5, 0.81, 2.043, 1.233, 10000, 0, 2.043, 2.049, 0.006, 5,     1.249,
 6, 0, 1.2, 1.2, 1.21, 0.01, 5, 1.21, 2.143, 0.933, 10000, 0, 2.143, 2.153, 0.01, 5,     0.953,
 7, 0, 1.5, 1.5, 1.51, 0.01, 5, 1.51, 2.243, 0.733, 10000, 0, 2.243, 2.253, 0.01, 5,     0.753,
 8, 0, 1.5, 1.5, 1.53, 0.03, 5, 1.53, 2.343, 0.813, 10000, 0, 2.343, 2.353, 0.01, 5,     0.853,
 9, 0, 1.5, 1.5, 1.55, 0.05, 5, 1.55, 2.443, 0.893, 10000, 0, 2.443, 2.453, 0.01, 5,     0.953,
 10, 0, 1.5, 1.5, 1.57, 0.07, 5, 1.57, 2.585, 1.015, 10000, 0, 2.585, 2.595, 0.01, 5,     1.095,
 11, 0, 1.8, 1.8, 1.81, 0.01, 5, 1.81, 2.785, 0.975, 10000, 0, 2.785, 2.795, 0.01, 5,     0.995,
 12, 0, 2.1, 2.1, 2.11, 0.01, 5, 2.11, 2.985, 0.875, 10000, 0, 2.985, 2.995, 0.01, 5,     0.895,
 13, 0, 2.4, 2.4, 2.41, 0.01, 5, 2.41, 3.152, 0.742, 10000, 0, 3.152, 3.162, 0.01, 5,     0.762,
 14, 0, 2.4, 2.4, 2.43, 0.03, 5, 2.43, 3.352, 0.922, 10000, 0, 3.352, 3.362, 0.01, 5,     0.962,
 15, 0, 2.7, 2.7, 2.71, 0.01, 5, 2.71, 3.552, 0.842, 10000, 0, 3.552, 3.562, 0.01, 5,     0.862,
 16, 0, 3, 3, 3.01, 0.01, 5, 3.01, 3.752, 0.742, 10000, 0, 3.752, 3.762, 0.01, 5,     0.762,
 17, 0, 3.5, 3.5, 3.51, 0.01, 5, 3.51, 3.952, 0.442, 10000, 0, 3.952, 3.962, 0.01, 5,     0.462,
 18, 0, 4, 4, 4.01, 0.01, 5, 4.01, 5.826, 1.816, 110000, 0, 5.826, 5.836, 0.01, 5,     1.836,
 19, 0, 4.8, 4.8, 4.81, 0.01, 5, 4.81, 5.926, 1.116, 10000, 0, 5.926, 5.936, 0.01, 5,     1.136,
 20, 0, 5.6, 5.6, 5.61, 0.01, 5, 5.61, 7.776, 2.166, 110000, 0, 7.776, 7.786, 0.01, 5,     2.186,
 21, 0, 6.4, 6.4, 6.41, 0.01, 5, 6.41, 7.876, 1.466, 10000, 0, 7.876, 7.886, 0.01, 5,     1.486,
 22, 0, 6.5, 6.5, 6.51, 0.01, 5, 6.51, 7.976, 1.466, 10000, 0, 7.976, 7.986, 0.01, 5,     1.486,
 23, 0, 6.6, 6.6, 6.61, 0.01, 5, 6.61, 8.076, 1.466, 10000, 0, 8.076, 8.086, 0.01, 5,     1.486,
 24, 0, 6.7, 6.7, 6.71, 0.01, 5, 6.71, 8.143, 1.433, 10000, 0, 8.143, 8.153, 0.01, 5,     1.453,
 25, 0, 6.8, 6.8, 6.81, 0.01, 5, 6.81, 8.21, 1.4, 10000, 0, 8.21, 8.22, 0.01, 5,     1.420,
 26, 0, 6.9, 6.9, 6.91, 0.01, 5, 6.91, 8.276, 1.366, 10000, 0, 8.276, 8.286, 0.01, 5,     1.386,
 27, 0, 7, 7, 7.01, 0.01, 5, 7.01, 8.343, 1.333, 10000, 0, 8.343, 8.353, 0.01, 5,     1.353,
 28, 0, 7.1, 7.1, 7.11, 0.01, 5, 7.11, 8.41, 1.3, 10000, 0, 8.41, 8.42, 0.01, 5,     1.320,
 29, 0, 7.3, 7.3, 7.31, 0.01, 5, 7.31, 8.476, 1.166, 10000, 0, 8.476, 8.486, 0.01, 5,     1.186,
 30, 0, 7.5, 7.5, 7.51, 0.01, 5, 7.51, 8.543, 1.033, 10000, 0, 8.543, 8.553, 0.01, 5,     1.053,
 31, 0, 8, 8, 8.01, 0.01, 5, 8.01, 8.61, 0.6, 10000, 0, 8.61, 8.62, 0.01, 5,     0.620,
 32, 0, 8.2, 8.2, 8.21, 0.01, 5, 8.21, 8.676, 0.466, 10000, 0, 8.676, 8.686, 0.01, 5,     0.486,
 33, 0, 8.6, 8.6, 8.61, 0.01, 5, 8.61, 8.809, 0.199, 10000, 0, 8.809, 8.819, 0.01, 5,     0.219,
